date,holding,sp500_m,bonds_m,reason
2001-09-30,Bonds,-0.2821526822558459,0.06939217648427598,SP500 negative mom
2001-10-31,Bonds,-0.26687489154954014,0.10930159724397126,SP500 negative mom
2001-11-30,Bonds,-0.1406131718395155,0.022602321319486807,SP500 negative mom
2001-12-31,Bonds,-0.13394875659382066,-0.03074575851212691,SP500 negative mom
2002-01-31,Bonds,-0.17692027666545318,-0.015568862275449069,SP500 negative mom
2002-02-28,Bonds,-0.10869565217391308,-0.01682954833863004,SP500 negative mom
2002-03-31,Bonds,-0.024914821124361164,-0.059281437125748515,SP500 negative mom
2002-04-30,Bonds,-0.1421168028702412,0.01930261519302623,SP500 negative mom
2002-05-31,Bonds,-0.1518533280191311,0.019308616319488214,SP500 negative mom
2002-06-30,Bonds,-0.20177741870329224,0.026849813960064806,SP500 negative mom
2002-07-31,Bonds,-0.25282863608311046,0.020161979102954586,SP500 negative mom
2002-08-31,Bonds,-0.19872639437856832,0.04537418974661156,SP500 negative mom
2002-09-30,Bonds,-0.2191616766467066,0.0832587107341598,SP500 negative mom
2002-10-31,Bonds,-0.1616568047337278,-0.00028184387792917764,SP500 negative mom
2002-11-30,Bonds,-0.17551200176172654,0.04360812425328553,SP500 negative mom
2002-12-31,Bonds,-0.23515336088753536,0.11056301264710933,SP500 negative mom
2003-01-31,Bonds,-0.24391862007961074,0.09184914841849157,SP500 negative mom
2003-02-28,Bonds,-0.2402890695573623,0.11291291291291294,SP500 negative mom
2003-03-31,Bonds,-0.2601004586154182,0.14831317632081475,SP500 negative mom
2003-04-30,Bonds,-0.14869888475836435,0.11453931245704796,SP500 negative mom
2003-05-31,Bonds,-0.09468984962406013,0.17812343006583142,SP500 negative mom
2003-06-30,Bonds,-0.014929149797570873,0.14168432893393001,SP500 negative mom
2003-07-31,SP500,0.08948237885462551,-0.002949852507374673,best index (8.9%)
2003-08-31,SP500,0.10468621540147982,-0.03128474944070603,best index (10.5%)
2003-09-30,SP500,0.21963190184049086,-0.01832557194081652,best index (22.0%)
2003-10-31,SP500,0.18520609824957646,-0.017509169747840336,best index (18.5%)
2003-11-30,SP500,0.13007478632478642,0.0008591038879151025,best index (13.0%)
2003-12-31,SP500,0.2633674630261662,-0.029950083194675514,best index (26.3%)
2004-01-31,SP500,0.32202398362094176,-0.0075204153246866134,best index (32.2%)
2004-02-29,SP500,0.36087990487514854,-0.016729627630868826,best index (36.1%)
2004-03-31,SP500,0.32821723730814645,0.01164079822616415,best index (32.8%)
2004-04-30,SP500,0.2074235807860263,-0.06083855742062372,best index (20.7%)
2004-05-31,SP500,0.1642875681287308,-0.11566390041493779,best index (16.4%)
2004-06-30,SP500,0.17184690470074493,-0.09347577875785074,best index (17.2%)
2004-07-31,SP500,0.11296436694465495,0.02455671863443043,best index (11.3%)
2004-08-31,SP500,0.09550979905730594,0.04771600769685436,best index (9.6%)
2004-09-30,SP500,0.12173038229376254,0.0005572580238659697,best index (12.2%)
2004-10-31,SP500,0.07694140066698418,0.04713995959716755,best index (7.7%)
2004-11-30,SP500,0.10990309619475291,0.01658563673302993,best index (11.0%)
2004-12-31,SP500,0.0929761368752815,0.029159519725557415,best index (9.3%)
2005-01-31,SP500,0.04579646017699113,0.0314341695985112,best index (4.6%)
2005-02-28,SP500,0.051987767584097844,-0.006860123769381166,best index (5.2%)
2005-03-31,SP500,0.052444444444444516,-0.02356164383561643,best index (5.2%)
2005-04-30,Bonds,0.04746835443037978,0.07236646522522361,bonds > SP500
